2017-04-25,6.600000,6.630000,6.550000,6.610000,6.484722,14288400
2017-04-26,6.490000,6.540000,6.470000,6.500000,6.434237,5214200
2017-04-27,6.490000,6.510000,6.440000,6.450000,6.384743,7532900
2017-04-28,6.590000,6.600000,6.520000,6.520000,6.454035,6753300
2017-05-01,6.550000,6.590000,6.530000,6.560000,6.493630,4737800
2017-05-02,6.560000,6.610000,6.530000,6.610000,6.543125,5633200
2017-05-03,6.590000,6.650000,6.570000,6.630000,6.562922,6336900
2017-05-04,6.710000,6.770000,6.690000,6.750000,6.681708,8494000
2017-05-05,6.860000,6.990000,6.840000,6.990000,6.919280,9429800
2017-05-08,6.810000,6.850000,6.800000,6.830000,6.760899,5777400
2017-05-09,6.800000,6.820000,6.670000,6.690000,6.622315,6440400
2017-05-10,6.660000,6.720000,6.660000,6.720000,6.652011,6682800
2017-05-11,6.600000,6.630000,6.550000,6.610000,6.543125,4916500
2017-05-12,6.610000,6.630000,6.580000,6.630000,6.562922,8107300
2017-05-15,6.710000,6.760000,6.700000,6.740000,6.671809,12002700
2017-05-16,6.800000,6.810000,6.750000,6.810000,6.741101,4966600
2017-05-17,6.670000,6.730000,6.560000,6.570000,6.503530,8210300
2017-05-18,6.310000,6.450000,6.310000,6.420000,6.355047,10411100
2017-05-19,6.490000,6.590000,6.490000,6.570000,6.503530,8331800
